loci	length	start	end
adk_1	501	117154	117654
atpA_1	555	3861315	3861869
dxr_1	411	2307434	2307844
glyA_10	516	2996074	2996589
recA_1	564	1398500	1399063
sodA_3	450	1806562	1807011
tpi_5	504	3530696	3531199
